Source:,/,,,,,,,,,,,,,
Date:,/,,,,,,,,,,,,,
Tool:,Eeschema 7.0.9,,,,,,,,,,,,,
Generator:,/,,,,,,,,,,,,,
Component Count:,109,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Manufacturer,Manufacturer Part Number,Supplier,Supplier Part Number,TCR,Temperature Range,Termperature Range,Tolerance,Viewing Angle,Voltage Rating,Wavelength
1,4,"3V3, NET_STATUS1, NETLIGHT1, REMOTE_SIG1",LED GREEN,Würth Elektronik,150060VS75000,Digi-Key,732-4980-1-ND,,,,,140°,,570nm
2,2,"BOOT1, LTE_RST1",SW_SPST,C&K,PTS645SL43SMTR92 LFS,Digi-Key,CKN10880CT-ND,,,,,,,
3,1,C1,100uF 6.3V TANT,KYOCERA AVX,TPSB107K006R0250,Digi-Key,478-3080-1-ND,,,,10%,,,
4,8,"C2, C10, C24, C25, C26, C27, C28, C30",100nF 16V MLCC,Samsung,CL10B104KO8NNNC,Digi-Key,1276-1005-1-ND,,,,10%,,,
5,3,"C3, C18, C19",100pF 50V MLCC,Yageo,CC0603JRNPO9BN101,Digi-Key,311-1069-1-ND,,,,5%,,,
6,2,"C4, C6",5pF 50V MLCC,YAGEO,CC0402BRNPO9BN5R0,Digi-Key,490-11334-1-ND,,,,±0.1pF,,,
7,2,"C5, C9",22pF 50V MLCC,Yageo,CC0603JRNPO9BN220,Digi-Key,311-1062-1-ND,,,,5%,,,
8,2,"C7, C8",100nF 16V MLCC,Samsung,CL10B104KO8NNNC,Digi-Key,1276-1005-1-ND,,,,10%,,,
9,4,"C11, C12, C13, C14",33pF 50V MLCC,Samsung Electro-Mechanics,CL10C330JB8NNNC,Digi-Key,1276-1070-1-ND,,,,5%,,,
10,3,"C15, C16, C17",10uF 50V MLCC,Samsung,CL31B106KBHNNNE,Digi-Key,1276-6767-1-ND,,,,10%,,,
11,2,"C20, C21",100pF 50V MLCC,Yageo,CC0603JRNPO9BN101,Digi-Key,311-1069-1-ND,,,,5%,,,
12,2,"C22, C29",16pF 50V MLCC,Murata Electronics,GJM1555C1H160FB01J,Digi-Key,490-GJM1555C1H160FB01JCT-ND,,,,±1%,,,
13,1,C23,1uF 16V MLCC,YAGEO,CC0603KRX7R7BB105,Digi-Key,311-1446-1-ND,,,,10%,,,
14,1,D1,TVS 3V3RWV 4CH,Nexperia,PESD3V3L4UW,Digi-Key,1727-5790-1-ND,,,,,,,
15,1,D2,STKY 420mV 1A,Panjit,SS12L_R1_00001,Digi-Key,3757-SS12L_R1_00001CT-ND,,,,,,,
16,4,"DZ1, DZ2, DZ3, DZ4",TVS 5VRWV,Onsemi,ESD9X5.0ST5G,Digi-Key,ESD9X5.0ST5GOSCT-ND,,,,,,,
17,6,"F1, F2, F3, F4, F6, F7",FUSE 1A 63V,Bel Fuse Inc.,0685T1000-01,Digi-Key,-55°C ~ 125°C,,,,,,63V,
18,1,F5,FUSE 1A 63V,Bel Fuse Inc.,0685T1000-01,Digi-Key,-55°C ~ 125°C,,,,,,63V,
19,1,FB1,600 Ohm @ 100 MHz,Pulse Electronics,BBBK00160808601Y00,Digi-Key,553-BBBK00160808601Y00CT-ND,,,,,,,
20,1,J1,USB_B_Micro,Amphenol,10118194-0001LF,Digi-Key,609-4618-1-ND,,,,,,,
21,1,J3,U.FL Coax,TE Connectivity,CONMHF1-SMD-T,Digi-Key,343-CONMHF1-SMD-TCT-ND,,,,,,,
22,1,J4,Conn_01x12,,,,,,,,,,,
23,4,"LTE_DBG1, MCU_DBG1, NFC_SPI1, RC1",Conn_01x04,,,,,,,,,,,
24,1,PROG1,Conn_01x06,,,,,,,,,,,
25,1,PWR1,Conn_01x02,,,,,,,,,,,
26,5,"Q1, Q3, Q5, Q6, Q7",NMOS 2N7002NXAKR,Nexperia,2N7002NXAKR,Digi-Key,1727-8643-1-ND,,,,,,,
27,2,"Q2, Q4",PMOS BSS84AK,Nexperia,BSS84AK,Digi-Key,1727-BSS84AKVLCT-ND,,,,,,,
28,8,"R1, R2, R3, R8, R14, R15, R25, R27",0R,Panasonic,ERJ-3GEY0R00V,Digi-Key,P0.0GCT-ND,,,,Jumper,,,
29,4,"R4, R5, R19, R20",1k,Panasonic,ERJ-3EKF1001V,Digi-Key,P1.00KHCT-ND,,,,1%,,,
30,7,"R6, R7, R12, R16, R18, R22, R23",10k,Panasonic,ERJ-3EKF1002V,Digi-Key,P10.0KHCT-ND,,,,1%,,,
31,3,"R9, R10, R11",22R,YAGEO,RC0603FR-0722RL,Digi-Key,311-22.0HRCT-ND,±100ppm/°C,,,1%,,,
32,4,"R13, R21, R28, R29",1k,Panasonic,ERJ-3EKF1001V,Digi-Key,P1.00KHCT-ND,,,,1%,,,
33,2,"R17, R26",0R,Panasonic,ERJ-3GEY0R00V,Digi-Key,P0.0GCT-ND,,,,Jumper,,,
34,1,R24,10k,Panasonic,ERJ-3EKF1002V,Digi-Key,P10.0KHCT-ND,,,,1%,,,
35,1,RST1,SW_SPST,C&K,PTS645SL43SMTR92 LFS,Digi-Key,CKN10880CT-ND,,,,,,,
36,1,SIM1,SIM_Card_6pin,CUI Devices,MSIM-10-B,Digi-Key,2223-MSIM-10-BCT-ND,,,,,,,
37,4,"TP_UART_RX1, TP_UART_RX2, TP_UART_TX1, TP_UART_TX2",TestPoint,,,,,,,,,,,
38,1,TVS1,TVS BID 12V STDOFF,Panjit,P6SMBJ12CA_R1_00001,Digi-Key,3757-P6SMBJ12CA_R1_00001CT-ND,,,,,,,
39,1,U1,STM32L476RET6,STMicroelectronics,STM32L476RET6TR,Digi-Key,497-19381-1-ND,,,,,,,
40,1,U2,BC660K-GL,Quectel,BC660K-GL,Digi-Key,2958-BC660KGLAA-I03-SNASACT-ND,,-35ºC ~ 75ºC,,,,,
41,1,U3,VREG 3V3,Diodes Inc,AZ1117IH-3.3TRG1,Digi-Key,AZ1117IH-3.3TRG1DICT-ND,,,,,,,
